samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,Realm,Biome,Functional_group
mgm4675796,human-associated habitat,feces,human-gut,NA,digt41,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675797,human-associated habitat,feces,human-gut,NA,digt28,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675798,human-associated habitat,feces,human-gut,NA,digt33,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675799,human-associated habitat,feces,human-gut,NA,digt10,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675800,human-associated habitat,feces,human-gut,NA,digt22,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675801,human-associated habitat,feces,human-gut,NA,digt24,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675802,human-associated habitat,feces,human-gut,NA,digt27,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675803,human-associated habitat,feces,human-gut,NA,digt19,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675804,human-associated habitat,feces,human-gut,NA,digt29,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675805,human-associated habitat,feces,human-gut,NA,digt20,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675806,human-associated habitat,feces,human-gut,NA,digt08,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675807,human-associated habitat,feces,human-gut,NA,digt04,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675808,human-associated habitat,feces,human-gut,NA,digt11,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675809,human-associated habitat,feces,human-gut,NA,digt44,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675810,human-associated habitat,feces,human-gut,NA,digt23,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675811,human-associated habitat,feces,human-gut,NA,digt18,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675812,human-associated habitat,feces,human-gut,NA,digt21,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675813,human-associated habitat,feces,human-gut,NA,digt37,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675814,human-associated habitat,feces,human-gut,NA,digt36,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675815,human-associated habitat,feces,human-gut,NA,digt26,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4675816,human-associated habitat,feces,human-gut,NA,digt31,Developing Infant Gut Timeseries,metagenome,WGS,NA,Australia,-33.9495,151.2437,Temperate broadleaf and mixed forest biome,mgp16084,host-associated,human_feces,terrestrial,human_host-associated,Terrestrial,Intensive_land-use ,
mgm4477876,slope,bulk soil,soil,NA,BZ1_r1,cross-site soil metagen,metagenome,WGS,NA,USA,64.8,-148.25,Temperate coniferous forest biome,mgp2997,free-living,forest_soil,terrestrial,soil,Terrestrial,Polar_alpine_cryogenic,
mgm4477877,slope,bulk soil,soil,NA,CL1_r1,cross-site soil metagen,metagenome,WGS,NA,USA,34.6170,-81.6670,Temperate coniferous forest biome,mgp2997,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4477899,slope,bulk soil,soil,NA,DF1_r1,cross-site soil metagen,metagenome,WGS,NA,USA,35.9670,-79.0830,Temperate coniferous forest biome,mgp2997,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4627252,forest,spruce forest soil,soil,NA,Prilba_Seasons_MG,Prilba_Seasons,metagenome,WGS,NA,Czech Republic,49.0437647222222,13.6171380555556,Temperate coniferous forest biome,mgp6860,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4739174,aquifer,ground water,water,NA,13C_8dose.1001503,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739175,aquifer,ground water,water,NA,13C_5dose.1001491,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739176,aquifer,ground water,water,NA,13C_5dose.1001497,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739177,aquifer,ground water,water,NA,12C_3dose.1001473,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739178,aquifer,ground water,water,NA,13C_8dose.1001500,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739179,aquifer,ground water,water,NA,13C_3dose.1001482,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739180,aquifer,ground water,water,NA,contaminated.1001464,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739181,aquifer,ground water,water,NA,13C_8dose.1001506,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739182,aquifer,ground water,water,NA,12C_5dose.1001476,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739183,aquifer,ground water,water,NA,uncontaminated.1001470,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739184,aquifer,ground water,water,NA,13C_3dose.1001488,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739185,aquifer,ground water,water,NA,contaminated.1001461,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739186,aquifer,ground water,water,NA,13C_5dose.1001494,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739187,aquifer,ground water,water,NA,contaminated.1001467,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739188,aquifer,ground water,water,NA,13C_3dose.1001485,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4739189,aquifer,ground water,water,NA,12C_8dose.1001479,SIP Napthalene in Groundwater,metagenome,WGS,NA,USA,43.2920,-73.60444,Temperate coniferous forest biome,mgp79605,free-living,karst-porous,freshwater,groundwater,Subterranean-Freshwater,Subterranean_freshwaters ,
mgm4538778,forest,soil,soil,NA,MG-T3F-0cm_pair_retain,Marcell Experimental Forest carbon cycling,metagenome,WGS,north america,USA,47.5061,-93.45278,Temperate needle-leaf forests or woodlands,mgpinternal id of project,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4538779,forest,soil,soil,NA,MG-T3F-30cm_pair_retain,Marcell Experimental Forest carbon cycling,metagenome,WGS,north america,USA,47.5061,-93.45278,Temperate needle-leaf forests or woodlands,mgpinternal id of project,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4538997,forest,soil,soil,NA,MG-T3F-75cm_pair_retain,Marcell Experimental Forest carbon cycling,metagenome,WGS,north america,USA,47.5061,-93.45278,Temperate needle-leaf forests or woodlands,mgpinternal id of project,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4540013,cow shed,feces,host-associated,NA,FA2,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540014,cow shed,feces,host-associated,NA,FB1,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540015,cow shed,feces,host-associated,NA,FB2,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540016,cow shed,feces,host-associated,NA,FC1,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540017,cow shed,feces,host-associated,NA,FC2,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540018,cow shed,feces,host-associated,NA,FD1,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540019,cow shed,feces,host-associated,NA,FD2,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540020,cow shed,feces,host-associated,NA,MA1,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540021,cow shed,feces,host-associated,NA,MA2,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540022,cow shed,feces,host-associated,NA,MB1,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540023,cow shed,feces,host-associated,NA,MB2,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540024,cow shed,feces,host-associated,NA,MC1,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540025,cow shed,feces,host-associated,NA,MD1,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4540026,cow shed,feces,host-associated,NA,MD2,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4548142,cow shed,feces,host-associated,NA,MC2,Dairy_microbiome,metagenome,WGS,NA,USA,46.729553,-94.6858998,temperate woodland biome,mgp6465,host-associated,animal_feces,terrestrial,animal_host-associated,Terrestrial,Intensive_land-use ,
mgm4664853,area of deciduous forest,surface soil,soil,soil,HARV.001.xx.xx.Organic.x.x.20131122.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42427,-72.258289,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664854,area of evergreen forest,surface soil,soil,soil,HARV.013.39.Mineral.7.22.20130708.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.39232,-72.25474,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664862,area of woody wetland,surface soil,soil,soil,HARV.016.21.1.1.Organic.20130709.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.45832,-72.23223,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664863,area of mixed forest,surface soil,soil,soil,HARV.004.xx.Mineral.x.x.20130709.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.427095,-72.229723,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664868,area of deciduous forest,surface soil,soil,soil,HARV.001.xx.xx.Mineral.x.x.20131122.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42427,-72.258289,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664869,area of evergreen forest,surface soil,soil,soil,HARV.013.05.15.Organic.31.27.20131122.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.39236,-72.25444,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664873,area of mixed forest,surface soil,soil,soil,HARV.004.51.Mineral.34.37.20130709.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42724,-72.22955,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664876,area of mixed forest,surface soil,soil,soil,HARV.004.xx.xx.Organic.x.x.20131122.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.427095,-72.229723,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664881,area of mixed forest,surface soil,soil,soil,HARV.004.05.11.Organic.31.8.20131122.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42698,-72.22959,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664888,area of deciduous forest,surface soil,soil,soil,HARV.001.23.Organic.22.2.20130709.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42411,-72.25827,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664892,area of deciduous forest,surface soil,soil,soil,HARV.001.05.04.Mineral.13.7.20131122.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42416,-72.25838,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664893,area of deciduous forest,surface soil,soil,soil,HARV.001.xx.Mineral.x.x.2013070x.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42427,-72.258289,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664902,area of evergreen forest,surface soil,soil,soil,HARV.013.xx.Mineral.x.x.20130708.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.392303,-72.25458,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664903,area of woody wetland,surface soil,soil,soil,HARV.016.xx.Mineral.x.x.2013070x.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.458487,-72.231987,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664909,area of deciduous forest,surface soil,soil,soil,HARV.001.50.Mineral.25.38.20130709.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42443,-72.25822,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664911,area of mixed forest,surface soil,soil,soil,HARV.004.48.Organic.5.35.20130709.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42723,-72.2299,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664916,area of deciduous forest,surface soil,soil,soil,HARV.001.05.05.Organic.30.7.20131122.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.42415,-72.25817,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4664928,area of evergreen forest,surface soil,soil,soil,HARV.013.xx.xx.Organic.x.x.20131122.join,NEON Soil Metagenomes,metagenome,WGS,NA,USA,42.392303,-72.25458,temperate woodland biome,mgp13948,free-living,forest_soil,terrestrial,soil,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4688630,organic feature,pomaceous fruit product,plant-associated,NA,DNA14023_013_L1_AGTTCC_L008_R1_001,Pinova3,metagenome,WGS,NA,Italy,41.89193,12.51133,temperate woodland biome,mgp17155,host-associated,plant-associated,terrestrial,plant-associated,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4688631,organic feature,pomaceous fruit product,plant-associated,NA,DNA14023_014_L1_GTGGCC_L008_R1_001,Pinova3,metagenome,WGS,NA,Italy,41.89193,12.51133,temperate woodland biome,mgp17155,host-associated,plant-associated,terrestrial,plant-associated,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4688632,organic feature,pomaceous fruit product,plant-associated,NA,DNA14023_011_L1_CTTGTA_L008_R1_001,Pinova3,metagenome,WGS,NA,Italy,41.89193,12.51133,temperate woodland biome,mgp17155,host-associated,plant-associated,terrestrial,plant-associated,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4688633,organic feature,pomaceous fruit product,plant-associated,NA,DNA14023_012_L1_AGTCAA_L008_R1_001,Pinova3,metagenome,WGS,NA,Italy,41.89193,12.51133,temperate woodland biome,mgp17155,host-associated,plant-associated,terrestrial,plant-associated,Terrestrial,Temperate-boreal_forests_and_woodlands,
mgm4477749,agricultural soil,rhizosphere,soil,NA,2LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,
mgm4477751,agricultural soil,rhizosphere,soil,NA,1LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,
mgm4477755,agricultural soil,rhizosphere,soil,NA,3LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,
mgm4477757,agricultural soil,bulk soil,soil,NA,4LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,
mgm4477789,agricultural soil,bulk soil,soil,NA,5LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,
mgm4477790,agricultural soil,bulk soil,soil,NA,6LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,
mgm4477807,slope,bulk soil,soil,NA,PE6_r1,cross-site soil metagen,metagenome,WGS,NA,Peru,-12.6330,-71.2330,Tropical and subtropical moist broadleaf forest biome,mgp2997,free-living,forest_soil,terrestrial,soil,Terrestrial,Tropical-subtropical_forests ,
mgm4477875,slope,bulk soil,soil,NA,AR3_r1,cross-site soil metagen,metagenome,WGS,NA,Argentina,-26.7330,-54.6830,Tropical and subtropical moist broadleaf forest biome,mgp2997,free-living,forest_soil,terrestrial,soil,Terrestrial,Tropical-subtropical_forests ,Tropical-subtropical_dry_forests_and_thickets
mgm4478030,agricultural soil,rhizosphere,soil,NA,7LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4478037,agricultural soil,rhizosphere,soil,NA,8LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.7412664,-56.2533385,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4478038,agricultural soil,bulk soil,soil,NA,10LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.7412664,-56.2533385,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4478222,agricultural soil,bulk soil,soil,NA,11LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.7412664,-56.2533385,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4478283,agricultural soil,bulk soil,soil,NA,12LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.7412664,-56.2533385,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4478290,agricultural soil,rhizosphere,soil,NA,13LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4478291,agricultural soil,rhizosphere,soil,NA,15LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4478292,agricultural soil,rhizosphere,soil,NA,14LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,rhizosphere,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
mgm4478294,agricultural soil,bulk soil,soil,NA,16LM,Soybean Rhizosphere from Amazon Soils,metagenome,WGS,NA,Brazil,-11.6832502,-55.8357663,Tropical and subtropical moist broadleaf forest biome,mgp7774,free-living,agricultural_soil,terrestrial,soil,Terrestrial,Intensive_land-use ,Annual_croplands
