"samples","PI_lastname","latitude","longitude","observations","project_id","project_name","seq_meth","biome","life_style","environment","habitat","sequence_count_raw","average_length_raw","standard_deviation_length_raw","average_gc_content_raw","standard_deviation_gc_content_raw","average_gc_ratio_raw","standard_deviation_gc_ratio_raw","bp_count_preprocessed","sequence_count_preprocessed","average_length_preprocessed","standard_deviation_length_preprocessed","average_gc_content_preprocessed","standard_deviation_gc_content_preprocessed","average_gc_ratio_preprocessed","standard_deviation_gc_ratio_preprocessed","file_size_pos_prinseq","file_size_pos_prodigal","orf_count","args_total_count","bp_count_raw","drop"
"mgm4525951","ross",-38.23,145.93,"NA","mgp4126","bovine metagenome","illumina","terrestrial","host-associated","animal_host-associated","bodily_fluid",4772806,87628,19536,43991,12.6,1567,1416,415635123,4740434,87679,19508,43.99,12607,1567,1418,7784390,5990266,33684,0,418233504,"FALSE"
"mgm4525952","ross",-38.23,145.93,"NA","mgp4126","bovine metagenome","illumina","terrestrial","host-associated","animal_host-associated","bodily_fluid",5554796,94293,4301,42161,12216,1679,1436,520111369,5515331,94303,4269,42159,12227,1.68,1437,117686143,114168944,644580,0,523781070,"FALSE"
"mgm4525953","ross",-38.23,145.93,"NA","mgp4126","bovine metagenome","illumina","terrestrial","host-associated","animal_host-associated","bodily_fluid",5554796,91814,16.73,42441,12326,1653,1394,505786064,5505758,91865,16687,42435,12339,1654,1397,739755798,627853662,3490895,0,510009461,"FALSE"
"mgm4525954","ross",-38.23,145.93,"NA","mgp4126","bovine metagenome","illumina","terrestrial","host-associated","animal_host-associated","bodily_fluid",5645003,94296,4306,40654,12499,1792,1377,526512323,5582890,94308,4266,40636,12501,1793,1.38,802803546,769137719,4320350,0,532301925,"FALSE"
"mgm4525955","ross",-38.23,145.93,"NA","mgp4126","bovine metagenome","illumina","terrestrial","host-associated","animal_host-associated","bodily_fluid",5645003,91203,17281,40887,12608,1769,1377,507960016,5564219,91.29,17213,40858,12604,1772,1.38,157160904,128586114,718648,0,514839040,"FALSE"
"mgm4525957","ross",-38.23,145.93,"NA","mgp4126","bovine metagenome","illumina","terrestrial","host-associated","animal_host-associated","bodily_fluid",12448963,94008,5013,46.65,10689,1306,826,1157197567,12307837,94021,4974,46647,10708,1307,828,778845575,783147027,4398642,0,1170296880,"FALSE"
"mgm4525958","ross",-38.23,145.93,"NA","mgp4126","bovine metagenome","illumina","terrestrial","host-associated","animal_host-associated","bodily_fluid",5000616,93971,5.07,46354,10868,1323,775,467267631,4971934,93981,5.04,46359,10874,1323,776,308052989,307876294,1732691,0,469913649,"FALSE"
"mgm4526719","girguis",44.61,-66.46,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1105253,184098,46687,40094,10759,1683,749,110970460,619241,179204,56282,39733,10752,1.71,758,101975733,84346697,406723,1,203474545,"FALSE"
"mgm4526720","girguis",44.61,-66.46,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",3136908,162372,38013,39592,11194,1753,889,261834206,1679871,155866,43228,39457,11165,1762,884,70151641,61370763,305967,0,509345808,"FALSE"
"mgm4526721","girguis",44,-66,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",2310842,170742,39463,42251,10684,1545,786,205054142,1262883,162.37,46326,41956,10692,1565,805,247243981,203287212,999424,17,394558033,"FALSE"
"mgm4526722","girguis",44,-66,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",978625,205552,51871,42375,10042,1508,681,117000234,583413,200544,64325,42.06,10049,1528,683,134019077,102844046,479313,15,201158609,"FALSE"
"mgm4526723","girguis",56.9,-135.6,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1016276,211952,52948,42523,11.06,1528,899,129467935,623214,207742,66249,42153,11045,1551,827,147812339,112771149,520068,29,215402062,"FALSE"
"mgm4526724","girguis",36.95,-122.06,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1013450,172332,44313,41885,10.2,1.53,675,89800089,547053,164152,50861,41387,10259,1565,724,112993901,48178540,247335,1,174649403,"FALSE"
"mgm4526725","girguis",41.37,-71.95,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",478889,177904,48796,44198,10.13,1.39,599,45039831,266066,169281,56304,43797,10139,1414,606,55332127,27170548,137843,8,85196088,"FALSE"
"mgm4526726","girguis",-1.3,35.1,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",3532793,200.15,52161,40889,10388,1604,673,410974338,2094176,196246,63825,40.53,10286,1626,671,70035148,54251919,256977,1,707090084,"FALSE"
"mgm4526727","girguis",42.5,-71.3,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1505823,192609,47493,39987,9905,1661,745,163314694,868815,187974,58427,39.63,9882,1687,774,199742844,106593663,519280,33,290034857,"FALSE"
"mgm4526728","girguis",42.4,-71.1,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1235292,202906,50675,48107,9517,1173,503,137709781,717001,192064,63976,47864,9616,1187,512,14545808,11008949,51899,4,250647553,"FALSE"
"mgm4526729","girguis",42.5,-71.3,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1119249,202227,53155,45013,12142,1397,691,129119731,661273,195259,65849,44481,12099,1427,696,72516314,56852641,266529,5,226342490,"FALSE"
"mgm4526730","girguis",42.5,-71.3,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1262255,202761,53126,45624,12113,1394,835,144688919,743936,194491,65512,45302,12161,1414,838,155839769,119177303,559325,21,255936411,"FALSE"
"mgm4526731","girguis",42.5,-71.4,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1233717,165839,46444,39814,9.42,1.66,762,107184443,669763,160033,52205,39596,9431,1676,833,19430978,16228165,81038,4,204598051,"FALSE"
"mgm4526732","girguis",42.5,-71.3,"NA","mgp3854","atlantic right whale metagenome","illumina","terrestrial","host-associated","animal_host-associated","animal_feces",1379739,201156,50339,50321,10627,1099,677,148271310,790259,187624,63982,50.01,10792,1117,758,143633649,112608654,528787,20,277543466,"FALSE"
"mgm4527652","hedlund",13.41,55.63,"NA","mgp4996","functional_diversity_soil","454","terrestrial","free-living","soil","farm_soil",113014,345.5,214376,64267,5798,571,174,35885214,105190,341147,208165,64284,5815,571,174,43807172,23320459,110022,23,39046366,"FALSE"
"mgm4527653","hedlund",13.37,55.62,"NA","mgp4996","functional_diversity_soil","454","terrestrial","free-living","soil","farm_soil",96092,337116,205515,64763,5427,557,155,29613637,89281,331.69,197933,64778,5441,557,155,36600817,19714393,93875,11,32394105,"FALSE"
"mgm4527699","gan",2,101,"NA","mgp5013","pome metagenome","illumina","freshwater","free-living","wastewater","sludge",377333,2135515,6781265,48379,10185,1169,509,805800309,377333,2135515,6781265,48379,10185,1169,509,828121568,377714120,1034694,1166,805800309,"FALSE"
"mgm4527898","caffrey",57.02,-111.55,"NA","mgp2360","hydrocarbon metagenomics project","assembled","freshwater","free-living","freshwater","contaminated_water",2390992,536284,1739825,53145,11.4,0.99,532,1282251329,2390992,536284,1739825,53145,11.4,0.99,532,1047852889,617141865,2684134,451,1282251329,"FALSE"
"mgm4528142","spear",35.21,-97.45,"NA","mgp5076","geobiology 2013","illumina","freshwater","free-living","freshwater","freshwater_biofilm",244307,260815,12238,50553,10121,1063,439,62294607,243283,256058,24682,50552,10151,1064,0.44,72360228,52081407,231519,4,63718934,"FALSE"
"mgm4528143","spear",35.21,-97.45,"NA","mgp5076","geobiology 2013","illumina","freshwater","free-living","freshwater","freshwater_biofilm",1762790,352902,61121,56352,12352,882,511,528898013,1748188,302541,80247,56447,12492,881,0.52,3332213,2009158,8521,0,622091697,"FALSE"
"mgm4528144","spear",35.21,-97.45,"NA","mgp5076","geobiology 2013","illumina","freshwater","free-living","freshwater","freshwater_biofilm",219100,261317,13432,48505,9.63,1142,419,55461572,215616,257224,23572,48568,9672,1.14,0.42,64696649,45967017,205256,3,57254456,"FALSE"
"mgm4528145","spear",35.21,-97.45,"NA","mgp5076","geobiology 2013","illumina","freshwater","free-living","freshwater","freshwater_biofilm",318003,260898,13199,47568,9.86,1191,444,81168523,315634,257.16,22952,47579,9891,1191,445,1726740,1203301,5383,0,82966382,"FALSE"
"mgm4528146","spear",35.21,-97.45,"NA","mgp5076","geobiology 2013","illumina","freshwater","free-living","freshwater","freshwater_biofilm",673943,268228,12537,51379,12532,1078,558,176791597,672055,263061,25.85,51371,12555,1079,559,199115389,139205770,614558,18,180770655,"FALSE"
"mgm4528147","spear",35.21,-97.45,"NA","mgp5076","geobiology 2013","illumina","freshwater","free-living","freshwater","freshwater_biofilm",943582,277644,17.23,47807,10962,1209,529,253588397,933065,271.78,30473,47808,11,1.21,0.53,227757287,143469988,635140,19,261979605,"FALSE"
"mgm4528934","hedlund",13.41,55.63,"NA","mgp4996","functional_diversity_soil","454","terrestrial","free-living","soil","farm_soil",99966,364289,226625,63.95,5897,579,175,33518514,92955,360589,221192,63966,5.91,579,175,40475426,21254093,99496,15,36416512,"FALSE"
"mgm4528937","hedlund",13.37,55.62,"NA","mgp4996","functional_diversity_soil","454","terrestrial","free-living","soil","farm_soil",105580,345248,219551,64188,5837,573,175,33387051,98160,340129,213086,64201,5857,573,176,40652604,21513721,102072,13,36451314,"FALSE"
"mgm4529373","hedlund",13.41,55.63,"NA","mgp5231","functional_diversity1","454","terrestrial","free-living","soil","farm_soil",138970,347341,218642,63.94,5761,579,169,44281009,129198,342738,212678,63955,5779,579,0.17,53899475,28574387,134701,28,48270036,"FALSE"
"mgm4529374","hedlund",13.37,55.62,"NA","mgp5231","functional_diversity1","454","terrestrial","free-living","soil","farm_soil",122694,345709,217218,64346,5447,567,157,38835959,113806,341247,210873,64361,5464,567,157,47387993,25156296,118681,22,42416465,"FALSE"
"mgm4529642","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",65653,100,0,65628,9.58,566,324,2589815,26838,96498,9882,65729,9117,559,307,3027183,3081806,17427,1,6565300,"FALSE"
"mgm4529644","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",40765,100,0,56413,11051,863,488,404611,4206,96199,10997,57067,10229,833,495,481891,434342,2464,0,4076500,"FALSE"
"mgm4529646","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",588068,100,0,52082,11598,1051,665,3363145,34859,96479,10765,52717,11.92,1032,683,3895128,3305082,18676,0,58806800,"FALSE"
"mgm4529648","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",758125,100,0,50866,11149,1093,664,4774347,49497,96457,10768,51.36,11205,1067,615,5547736,4654239,26279,0,75812500,"FALSE"
"mgm4529654","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",25785,100,0,60772,12146,731,0.46,1195547,12458,95966,10468,63026,10932,653,412,1405369,1371736,7785,0,2578500,"FALSE"
"mgm4529655","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",9130400,100,0,54417,11148,933,0.5,811071878,8358321,97038,9021,54169,11103,942,501,1601577,1481294,8383,0,913040000,"FALSE"
"mgm4529656","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",50375,100,0,65562,9055,562,0.29,2887859,30137,95824,10572,66548,7758,527,225,3319865,3445273,19478,0,5037500,"FALSE"
"mgm4529657","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",7860495,100,0,53551,11021,965,513,697327324,7175934,97176,8846,53314,10963,973,505,2092193,1887060,10665,0,786049500,"FALSE"
"mgm4529716","peng",40.83,14.14,"NA","mgp5266","hotzyme sun spring","illumina","freshwater","free-living","freshwater","hot_spring",24274,1164836,5074454,50102,8911,1074,456,28275223,24274,1164836,5074454,50102,8911,1074,456,25880644,13012269,42775,20,28275223,"FALSE"
"mgm4529718","peng",40.83,14.15,"NA","mgp5268","hotzyme sun spring","454","freshwater","free-living","freshwater","hot_spring",9560,1744363,11940498,43723,10431,1406,517,16676112,9560,1744363,11940498,43723,10431,1406,517,11924718,5493825,19184,6,16676112,"FALSE"
"mgm4529719","peng",44.75,-110.72,"NA","mgp5269","hotzyme sun spring","454","freshwater","free-living","freshwater","hot_spring",61182,537988,612261,40759,10.01,1624,747,32915193,61182,537988,612261,40759,10.01,1624,747,28082202,16544686,72576,0,32915193,"FALSE"
"mgm4529720","peng",44.66,-110.48,"NA","mgp5270","hotzyme sun spring","454","freshwater","free-living","freshwater","hot_spring",15306,2120807,6343768,42904,9215,1446,568,32461075,15306,2120807,6343768,42904,9215,1446,568,11973907,5578261,20948,0,32461075,"FALSE"
"mgm4529733","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",12628739,100,0,54.45,11117,935,529,1099592899,11347816,96899,9224,54165,11071,945,522,1363811,1267409,7172,0,1262873900,"FALSE"
"mgm4529734","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",15874178,100,0,56803,10322,833,424,1371021906,14216001,96442,9824,56589,10342,841,425,2237911,2147566,12136,0,1587417800,"FALSE"
"mgm4529735","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",22169961,100,0,55755,10671,874,453,1884685204,19525582,96524,9769,55522,10648,883,0.45,1506275,1411843,7992,0,2216996100,"FALSE"
"mgm4529736","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",1901877,100,0,55826,11.65,899,0.61,26353498,271739,96981,9818,57639,11888,838,569,30670899,28668853,161170,2,190187700,"FALSE"
"mgm4529737","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",15300230,100,0,56041,11286,874,482,1334551691,13793984,96749,9459,55.78,11.28,884,0.48,2332533,2262609,12782,0,1530023000,"FALSE"
"mgm4529738","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",16441427,100,0,55032,10949,904,464,1431887952,14748849,97085,9048,54818,10875,911,463,629581,576741,3267,0,1644142700,"FALSE"
"mgm4529739","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",13975334,100,0,53951,11.29,953,508,1225608773,12602045,97255,8819,53776,11217,958,502,1491740,1351121,7648,0,1397533400,"FALSE"
"mgm4529740","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",660275,100,0,52121,11751,1.06,728,9539945,98392,96959,9894,54337,12.34,977,704,11212388,9888543,55788,0,66027500,"FALSE"
"mgm4529741","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",974677,100,0,58936,10705,768,413,4341790,45437,95556,11813,57695,11034,814,448,4760588,4728655,26692,0,97467700,"FALSE"
"mgm4529743","allison",33.74,-117.7,"NA","mgp3520","loma_ridge_grassland (litter_bags)","illumina","terrestrial","free-living","soil","meadow_soil",12430100,100,0,56064,10695,863,445,1093644858,11283260,96926,9163,55.82,10645,871,446,1260630,1199469,6790,0,1243010000,"FALSE"
"mgm4529786","hedlund",13.41,55.63,"NA","mgp5281","functional_diversity2","454","terrestrial","free-living","soil","farm_soil",124818,357555,220567,64268,5528,569,157,41098149,116225,353609,214926,64286,5.54,569,158,49901282,26437895,123992,16,44629285,"FALSE"
"mgm4529787","hedlund",13.37,55.62,"NA","mgp5281","functional_diversity2","454","terrestrial","free-living","soil","farm_soil",113862,342913,210924,64431,5413,565,156,35527706,105402,337069,202932,64449,5428,564,157,43729746,23424346,111307,21,39044729,"FALSE"
"mgm4529846","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",5106,304955,124334,47512,7054,1159,372,1557102,5106,304955,124334,47512,7054,1159,372,1658366,969964,5083,11,1557102,"FALSE"
"mgm4529847","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",24181,324091,110925,43126,5925,1364,345,7836511,24176,324144,110871,43125,5924,1365,345,8303025,4953710,25106,0,7836834,"FALSE"
"mgm4529848","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",58740,277291,95494,38211,6058,1685,445,16286800,58713,277397,95386,38206,6052,1686,445,17473029,9442345,50469,0,16288079,"FALSE"
"mgm4529850","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",39817,305.14,114565,49938,8745,1074,417,12149727,39816,305147,114558,49938,8745,1074,417,12902514,7728332,39906,0,12149751,"FALSE"
"mgm4529851","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",36654,326587,107229,41.02,5211,1479,338,11970402,36652,326596,107223,41019,5.21,1479,338,12704897,7659302,38775,22,11970724,"FALSE"
"mgm4529852","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",20058,330.02,116334,46102,6639,1216,336,6618891,20051,330103,116268,46101,6638,1216,336,7008587,4268648,21486,0,6619536,"FALSE"
"mgm4529853","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",22985,322125,95742,46017,8201,1247,426,7403994,22984,322137,95728,46018,8201,1247,426,7876750,4868927,24682,0,7404047,"FALSE"
"mgm4529854","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",27572,317579,122842,40907,5583,1486,314,8755623,27560,317693,122746,40904,5581,1487,314,9281759,5904639,29944,0,8756290,"FALSE"
"mgm4529855","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",20927,317033,119009,44376,7381,1.32,0.41,6634502,20925,317061,118.98,44376,7381,1.32,0.41,7031873,4281613,21646,0,6634550,"FALSE"
"mgm4529856","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",58465,300725,100189,39798,5.89,1567,376,17581850,58463,300735,100178,39798,5.89,1567,376,18767880,11701062,60856,1,17581894,"FALSE"
"mgm4529857","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",61265,319147,100022,39761,6986,1588,427,19551620,61250,319.21,99954,39759,6984,1588,427,20799458,12612782,64473,0,19552562,"FALSE"
"mgm4529858","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",12282,300612,114036,43945,4639,1305,279,3692114,12282,300612,114036,43945,4639,1305,279,3931248,2416314,12076,0,3692114,"FALSE"
"mgm4529859","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",33189,311.81,101731,42.95,6332,1379,357,10348632,33188,311818,101719,42949,6331,1379,357,11017081,6818494,34926,2,10348646,"FALSE"
"mgm4529860","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",20964,323792,116976,38951,6341,1636,437,6787942,20963,323806,116963,38.95,6.34,1636,437,7210002,3919625,20208,0,6787984,"FALSE"
"mgm4529861","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",12466,299166,116762,40184,7981,1.58,0.48,3729380,12465,299188,116.74,40183,7981,1.58,0.48,3961608,2346996,12231,0,3729405,"FALSE"
"mgm4529862","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",9433,328688,121562,52769,6642,929,0.28,3100513,9433,328688,121562,52769,6642,929,0.28,3262750,1903622,9778,10,3100513,"FALSE"
"mgm4529863","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",33279,344085,111631,40375,6843,1562,526,11450781,33278,344095,111619,40375,6842,1562,526,12125245,7381372,36087,0,11450805,"FALSE"
"mgm4529864","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",5757,302818,138035,39938,7198,1582,456,1742661,5745,303335,137711,39939,7194,1582,456,1853001,1098681,5775,0,1743322,"FALSE"
"mgm4529865","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",43585,307356,108127,41702,4597,1428,281,13395982,43580,307388,108.09,41.7,4595,1428,281,14236395,8647423,42776,0,13396090,"FALSE"
"mgm4529866","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",8850,321381,115729,44483,8098,1328,461,2843919,8845,321528,115594,44482,8.1,1328,461,3008585,1663802,8624,0,2844220,"FALSE"
"mgm4529867","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",34633,327684,109252,44222,5198,1292,272,11348679,34633,327684,109252,44222,5198,1292,272,12034529,7603982,38261,0,11348679,"FALSE"
"mgm4529868","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",32717,322119,102986,43.49,4339,1322,235,10538742,32716,322128,102974,43491,4338,1322,235,11187374,7388349,36987,0,10538766,"FALSE"
"mgm4529869","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",78168,318553,120745,40452,6.93,1544,428,24900598,78166,318.56,120738,40452,6929,1544,428,26459711,16737629,87586,0,24900647,"FALSE"
"mgm4529870","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",41278,341298,127861,38.24,4.44,1649,297,14088085,41278,341298,127861,38.24,4.44,1649,297,14942388,9067083,46652,0,14088085,"FALSE"
"mgm4529871","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",93498,312974,114675,44701,7181,1304,429,29261031,93456,313.1,114546,44702,7182,1304,429,31099899,17973555,93662,0,29262403,"FALSE"
"mgm4529874","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",36578,324375,119037,39839,5528,1558,352,11864959,36577,324383,119029,39.84,5527,1558,351,12592773,7394851,37130,0,11864985,"FALSE"
"mgm4529875","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",44237,316725,112677,41.21,5975,1483,399,14010925,44235,316738,112663,41.21,5975,1483,399,14916495,9434170,47805,0,14010973,"FALSE"
"mgm4529876","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",36474,310406,109211,41895,7019,1457,429,11321739,36474,310406,109211,41895,7019,1457,429,12032678,7429403,38060,3,11321739,"FALSE"
"mgm4529877","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",20795,375364,123514,46556,4252,1166,211,7805703,20795,375364,123514,46556,4252,1166,211,8219798,4609716,22454,0,7805703,"FALSE"
"mgm4529878","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",32804,328413,116278,46516,7.82,1217,409,10773250,32803,328423,116268,46516,7819,1217,409,11410479,7135212,36137,2,10773274,"FALSE"
"mgm4529879","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",15039,317035,119451,41973,4.83,1412,268,4767836,15037,317074,119411,41973,4826,1412,268,5051419,3183401,16328,0,4767884,"FALSE"
"mgm4529881","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",15511,378306,122849,43883,8204,1357,428,5867849,15510,378327,122825,43882,8203,1357,428,6146662,3692049,18486,0,5867900,"FALSE"
"mgm4529882","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",15811,334272,130861,41613,6477,1463,402,5285099,15808,334331,130804,41613,6474,1463,401,5589472,3435088,17768,0,5285174,"FALSE"
"mgm4529883","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",36087,308961,104.37,43652,4832,1.32,273,11149468,36086,308969,104361,43651,4832,1.32,273,11885934,7429958,38134,0,11149492,"FALSE"
"mgm4529884","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",12098,341.09,132892,46.19,7756,1235,426,4126484,12097,341116,132866,46192,7754,1235,426,4366781,2689853,13338,0,4126508,"FALSE"
"mgm4529885","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",34351,307404,104396,41.3,4834,1455,303,10559516,34347,307436,104359,41299,4833,1455,303,11252104,6836318,33803,0,10559633,"FALSE"
"mgm4529886","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",26300,351.92,109.61,46455,4998,1179,259,9255480,26299,351933,109594,46455,4998,1179,259,9779204,6284774,32147,0,9255507,"FALSE"
"mgm4529887","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",44523,316067,100896,42187,5789,1418,354,14072208,44521,316.08,100879,42187,5788,1418,353,14953086,9242150,47095,1,14072252,"FALSE"
"mgm4529889","wang",-19.9,134.21,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",16916,328.31,114841,43501,6763,1.36,402,5553614,16913,328364,114.78,43501,6759,1.36,402,5889338,3619806,18116,2,5553688,"FALSE"
"mgm4529890","wang",-37.79,144.95,"NA","mgp5298","australian pediatric diarrhea","454","terrestrial","host-associated","human_host-associated","human_feces",41932,327711,99.08,44201,6597,1318,0.38,13741517,41930,327725,99061,44201,6597,1318,0.38,14595925,8643766,43964,0,13741566,"FALSE"
